,Virginia,California,Florida,New York,New Jersey,Texas,Michigan,Massachusetts,Arizona,Washington,Colorado,Illinois,the District of Columbia,Nevada,Hawaii,New Hampshire,Utah,Georgia,Montana,Minnesota,Louisiana,Maryland,Pennsylvania,South Carolina,North Carolina,Vermont,Tennessee,Oregon,New Mexico,Rhode Island,Alaska,Maine,Alabama,Wisconsin,Arkansas,Mississippi,Indiana,West Virginia,Idaho,North Dakota,Connecticut,Kentucky,Missouri,Kansas,Delaware,Wyoming,Oklahoma,South Dakota,Nebraska,Iowa,Ohio
2001-09-01,140786.78093411526,239474.5029468025,121298.45400085341,173105.30528011834,197099.2882885438,114518.30662060017,128805.05895602376,242996.91380620262,147297.68123781055,192763.2747601871,212827.79170866535,142822.13320850616,191151.74011741256,167965.05721358018,217887.47788733008,163848.11741826843,180005.76501767072,138377.07388971696,,152704.02028701818,112204.85058818721,167187.08576760927,106602.53515469503,121381.99387385724,137275.90156812765,126909.96974440332,116187.22083766556,162649.1615844021,,155445.99976311994,160774.36835957793,124853.19182722022,105796.0773571966,129613.37716217672,92772.23517555906,93029.06856487796,102692.21790288284,79105.4914740935,129702.58405500419,,184990.7301810813,91303.72309430777,107342.25776182406,97206.26309226711,163039.844663096,,88113.87225868652,108913.95440097513,108664.8321607018,97626.46688083316,113128.74681858602
2001-10-01,141834.53491158315,241591.8924079792,122406.93462642883,174419.8902920717,199356.65565341688,114672.49016971269,129474.200410317,246228.04009359775,147959.89371219938,193581.10407500772,214144.7415616994,144273.2179747899,193466.66051500957,168953.5905409029,219295.58682445306,165677.79440891888,180273.11580374683,139064.4394441367,,154521.0630442923,112646.2225694122,168420.6641957527,107103.6425191242,121695.00550406596,137664.5194621955,127722.85660243151,116554.7916565423,163220.82625796634,,157750.3184301209,161578.49483921868,125828.3889112321,106133.33776115328,130305.46746504809,92962.94874610513,93488.98864192842,103002.1572727646,79370.95974874702,130190.94001155985,,187082.74216412322,91589.14471324421,107979.85796894418,97626.60780635226,163891.87541964746,,88424.73377326554,109122.78965135421,108890.73905855273,98059.83536395898,113533.90400844987
2001-11-01,142918.91421863667,243581.04685548806,123470.0101459667,175796.03516654987,201421.20807790858,114785.14245308108,130081.50702636251,249402.36139132606,148646.0280274904,194300.2118052235,215217.9168849967,145380.42464633027,195676.36331986892,169877.44280563298,220545.6602086115,167442.92267024814,180468.4974150441,139687.37335655748,,156250.35736933583,113068.88603723895,169628.3725010142,107612.49025699597,122022.93112288795,137967.98997958234,128689.17054822746,116855.96368288474,163729.95916386868,,159810.82197448178,162501.6051126965,126985.52415144973,106464.02977885841,130963.69766387169,93094.29714866432,93833.85332120695,103243.98920504662,79531.14911677229,130501.34116743536,,188910.67975088753,91861.74250421122,108659.20776477258,98033.04927761713,164778.19792608358,,88681.04214333983,109371.74628921032,109113.18428406415,98478.74474557664,113900.03285194251
2001-12-01,143948.12211635598,245441.16326955392,124512.62128260914,177257.22832415704,203281.7775225198,114876.15235278879,130643.55357450592,252390.5568800615,149287.57781542197,195179.13815123006,216060.83687612694,146199.71662398856,197917.48268778945,170833.96830249115,221659.84766250747,169192.45554786647,180556.66618480938,140267.99645945703,,157730.24434518284,113444.01205783912,170855.14850528608,108093.81892323948,122351.08161192888,138233.99972511618,129698.12846663788,117085.0519935364,164268.1733275849,,161820.58130716215,163542.2942815897,128109.82251783507,106709.67387395662,131595.6919450752,93171.66463311053,94105.71725631272,103573.60633739654,79641.94288840424,130775.69623916021,,190425.60438524603,92107.76665429345,109348.7618330274,98449.9833528219,165683.5597453598,,88909.34038192338,109537.24875923245,109355.86834168078,98907.93661167334,114231.1540184641
2002-01-01,144913.8667747441,246944.06427250695,125453.98307644278,178699.88822498042,205022.82897932004,114907.20561897646,131224.16726219063,254820.4978225655,149824.07256732622,195921.85058583601,216539.15701893848,146765.2879607498,200065.25746048684,171697.63689213828,222451.91333347248,170939.1016658252,180578.45485428246,140762.1392814498,,158959.06195932117,113729.7460850062,172088.7890825033,108572.72818165763,122600.9450720733,138456.87935393897,130750.68374620944,117249.67457557231,164783.91811295078,,163461.48912634168,164305.0290721501,129391.58235547696,106854.78469296604,132193.2565347381,93261.42827277868,94240.38367643689,103621.6452183837,79732.332806541,130951.5148752522,,191622.24732949343,92312.05759500235,109977.62329440513,98844.83402202635,166607.698818388,,89126.92297801864,109667.6099038447,109655.63005260627,99189.99809798015,114511.36414387707
2002-02-01,145871.28763203314,248480.59196608272,126324.75462029628,180009.61438793348,206815.73222148194,114993.29152168888,131721.67500170684,256901.9835760975,150309.8662007035,196645.1905136219,216968.1487892136,147426.7521476303,202219.33646280793,172458.21624367582,223482.56229908587,172615.56914375335,180496.62827220783,141238.10132007752,,159984.67044977224,114049.66059031927,173279.68714795072,109047.03873523365,122751.41707330201,138645.419647765,131792.52075267633,117427.80179650139,165286.91204699522,,165155.6709533931,164915.49144801503,130685.14755772766,107011.50658309553,132746.61524536833,93404.61834743572,94285.91095492564,103608.34556892514,79936.81964168407,131208.3759891667,,192714.89187266395,92515.09435829397,110575.98155174176,99174.52011589236,167536.4846789403,,89395.23597225791,110134.41106990799,109943.38951145035,99375.7076238091,114741.34964768584
2002-03-01,146875.5766372554,250279.05887194272,127176.11123627478,181120.38641062877,208647.56692198562,115209.01057688995,132159.3317410623,259022.2959783083,150837.46710876486,197280.75911822775,217581.9485158701,148230.4109754383,204219.88143879245,173295.1248147268,224663.74043216548,174103.88971684454,180547.85687566362,141670.6784755969,,160930.41888059364,114421.66463284272,174475.36071568602,109541.57792964442,122882.15763868327,138824.81598197285,132867.1026960948,117612.286878403,165779.08354025846,,166812.8995225845,165424.11514463404,132052.81551539924,107143.50433546198,133251.2375767202,93585.68139379802,94325.49578024757,103437.52774017512,80226.63749065953,131405.48251517492,,193975.59755542324,92705.65068370785,111091.64312493388,99470.16666715092,168527.64173251876,,89648.97406264399,110505.23492090315,110301.23357165886,99469.99890982406,114962.3506774488
2002-04-01,148010.5029088482,252705.82253444474,128134.04467724993,182215.35220486656,210493.48102809573,115588.36308802139,132480.03890031957,261279.1716372675,151423.50837680014,197862.33826344437,218378.67428596015,148980.76336092487,206542.45794997402,174249.05249186835,226178.04407807786,175683.37392158093,180676.8827865932,142132.46174459372,,161831.34797116683,114859.86038003839,175818.24174479395,110085.78562612517,123003.82141508635,138942.83396278453,133902.19789431663,117779.17222017939,166288.61564400553,133412.62090991944,168715.19562690568,166258.94205310018,133459.73423554152,107292.9634445067,133734.52331775788,93795.96606157227,94284.73932430934,103289.4367122316,80475.84843820773,131619.3986862605,,195463.5272630033,92901.16413787291,111583.3842219154,99745.64506954851,169566.90218799954,144860.88509447695,89917.87860340303,110760.40182478029,110593.0054719469,99723.85644450127,115185.76182279563
2002-05-01,149179.29791885195,255539.35236671485,129185.08720142664,183382.59339068236,212408.27150638867,116035.28490752236,132807.50017556967,263715.86986942065,152018.30264101143,198371.8581459982,219278.95954065816,149776.4662443887,209156.90739783016,175324.89597881612,227516.22518256048,177197.82019929367,180789.49156681995,142603.52899223636,,162998.9399967272,115665.38743082756,177498.81481950646,110680.42721837947,123218.58691627013,139126.03373922023,134872.50606059356,117965.42707058952,166934.21769408288,133639.2017476788,170930.11218407855,167008.3523909273,134799.73887247875,107483.22632810399,134244.54001279513,94068.14387125969,94391.10047132724,103324.98972466426,80688.17572071437,131856.94247120412,,197222.70960689394,93082.21777795833,112097.51153473866,99758.05485385125,170595.45771605344,143573.2706747944,90154.01331536716,110864.2015760594,110998.62452961535,100106.49878581501,115450.35028159466
2002-06-01,150470.27849614216,258683.1687348515,130284.00691403572,184737.94173209774,214558.15727584166,116536.00012974207,133169.81945631295,266248.98450867867,152687.1514293981,198827.84229194155,220041.4396246816,150561.26460117046,212061.87035292885,176232.11500525672,228991.08561200867,178891.57629956995,180889.31092384108,143086.02600487877,,164196.53921269308,116428.40932173822,179425.16182190483,111335.14142547573,123448.35358065889,139318.19420477105,135820.65722918807,118178.72628885003,167705.53538338936,133739.56657139494,173386.07235547886,167612.81622070112,136195.26654347708,107719.99021724852,134798.75569920673,94393.18836545969,94572.06144499942,103588.55286354134,80891.99806494937,132207.86230449914,,199229.54532743487,93283.6912799026,112690.30652227688,99688.605400156,171690.9121681613,142986.54494930446,90395.35720932606,111217.5144093224,111320.4934797958,100605.36119552853,115746.56955633865
2002-07-01,151840.35203535235,262320.2105732805,131402.81064604546,186193.8246225977,216972.39726024828,117044.97172177024,133521.56907732203,269114.1149780773,153410.86979823763,199406.54293069508,220781.82413061816,151504.8820174884,214902.5388928148,177061.06261642705,230791.75210977066,180599.76290618812,180986.41789942564,143541.3099368397,,165500.9876224857,117232.67163979488,181565.99761969093,112067.87428385731,123776.21768080482,139580.48820025596,136675.62573881412,118428.60547672828,168549.57280620432,134084.37501838352,176135.43867681109,168156.29354828724,137600.3841303587,107995.1984010182,135380.34107725212,94770.39510958579,94887.63710133085,103947.3868503619,81143.80277095923,132563.12605793367,,201366.7079171698,93534.28278200318,113333.8067602041,99590.3996187849,172814.78053349303,142090.39388414545,90653.29787124513,111641.53827748314,111674.7859685858,101052.03945749579,116092.5226048079
